education,gender,marital_status,occupation,race,workclass,age,hours_per_week,income
Bachelors,Female,Single,White-Collar,White,Private,24,40,0
Bachelors,Male,Single,Professional,White,Private,23,40,0
Some-college,Female,Widowed,White-Collar,White,Private,47,40,0
Some-college,Female,Widowed,Service,White,Private,62,20,0
Some-college,Female,Divorced,White-Collar,White,Private,41,80,0
Some-college,Female,Divorced,White-Collar,White,Government,34,38,0
HS-grad,Male,Married,Blue-Collar,White,Private,24,40,0
School,Male,Single,Blue-Collar,White,Private,18,40,0
School,Male,Single,Blue-Collar,White,Private,37,35,0
HS-grad,Female,Widowed,Other/Unknown,White,Other/Unknown,65,40,0
Some-college,Male,Married,Blue-Collar,White,Private,52,40,1
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,48,40,1
HS-grad,Male,Married,Professional,White,Private,34,60,1
Masters,Male,Married,White-Collar,White,Private,48,40,1
Bachelors,Male,Married,White-Collar,White,Government,38,42,1
Bachelors,Female,Single,White-Collar,White,Private,39,40,0
HS-grad,Female,Married,Blue-Collar,White,Private,34,40,0
School,Female,Single,Sales,White,Private,41,40,0
Masters,Female,Divorced,Professional,White,Government,41,40,0
Some-college,Female,Divorced,White-Collar,White,Private,40,40,0
Some-college,Male,Single,Blue-Collar,White,Private,23,40,0
School,Male,Single,Blue-Collar,White,Private,23,36,0
School,Male,Married,Other/Unknown,White,Other/Unknown,44,40,0
HS-grad,Female,Widowed,Service,White,Private,59,35,0
HS-grad,Male,Single,Blue-Collar,White,Private,24,40,0
School,Male,Divorced,Blue-Collar,White,Private,62,40,0
Some-college,Male,Single,Service,White,Private,19,30,0
Some-college,Male,Single,Blue-Collar,White,Private,22,20,0
Bachelors,Male,Single,Professional,White,Private,36,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,27,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,50,40,1
Masters,Male,Married,White-Collar,White,Private,39,40,1
Some-college,Male,Married,Blue-Collar,White,Private,30,40,0
HS-grad,Female,Married,White-Collar,White,Private,40,30,1
HS-grad,Female,Divorced,Blue-Collar,White,Private,30,20,0
Some-college,Female,Single,Service,White,Private,24,30,0
Some-college,Female,Married,White-Collar,White,Private,62,40,0
Some-college,Female,Single,White-Collar,Other,Private,53,40,0
Some-college,Female,Divorced,Blue-Collar,White,Private,51,40,0
HS-grad,Male,Married,White-Collar,White,Private,47,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,19,50,0
HS-grad,Male,Married,Blue-Collar,White,Private,65,16,0
Some-college,Female,Divorced,White-Collar,White,Private,27,44,0
Bachelors,Male,Married,Professional,White,Private,48,45,1
Bachelors,Female,Single,Service,Other,Private,26,35,0
HS-grad,Female,Widowed,White-Collar,Other,Government,69,20,0
Some-college,Male,Single,Sales,White,Private,20,30,0
Masters,Female,Divorced,Professional,White,Private,47,50,1
School,Male,Married,Blue-Collar,White,Private,65,40,0
School,Male,Single,White-Collar,White,Private,56,40,0
Bachelors,Female,Separated,White-Collar,White,Private,46,40,0
Bachelors,Male,Married,White-Collar,White,Private,44,40,1
Masters,Male,Single,Professional,White,Government,51,40,0
Some-college,Female,Divorced,Other/Unknown,White,Other/Unknown,60,40,1
Bachelors,Male,Single,White-Collar,White,Private,24,40,0
HS-grad,Female,Single,Blue-Collar,White,Private,21,40,0
Prof-school,Male,Single,Professional,White,Self-Employed,26,20,0
Some-college,Male,Married,Blue-Collar,Other,Private,43,40,0
Some-college,Female,Single,White-Collar,White,Private,20,45,0
School,Male,Divorced,Blue-Collar,White,Private,39,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,20,40,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,44,45,1
Prof-school,Female,Divorced,Other/Unknown,White,Other/Unknown,38,30,0
Masters,Male,Married,Professional,White,Private,31,50,0
School,Male,Separated,Blue-Collar,White,Private,54,40,0
Some-college,Female,Divorced,White-Collar,White,Government,35,50,0
School,Male,Single,Service,White,Private,18,15,0
Some-college,Female,Divorced,Service,Other,Government,37,20,0
HS-grad,Male,Married,Blue-Collar,White,Private,37,40,1
Bachelors,Female,Married,White-Collar,White,Self-Employed,31,40,1
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,65,40,0
HS-grad,Female,Widowed,White-Collar,White,Self-Employed,81,20,0
HS-grad,Male,Single,Blue-Collar,White,Government,22,50,0
HS-grad,Female,Single,White-Collar,White,Government,19,20,0
HS-grad,Male,Single,Blue-Collar,White,Self-Employed,38,50,0
Masters,Male,Single,White-Collar,Other,Private,29,60,0
Bachelors,Female,Single,White-Collar,White,Private,32,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,22,35,0
School,Male,Married,Blue-Collar,White,Private,30,48,0
Some-college,Male,Single,Blue-Collar,White,Private,22,40,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,75,40,0
Bachelors,Female,Married,White-Collar,White,Private,33,40,1
HS-grad,Female,Single,Sales,White,Private,19,20,0
Some-college,Female,Single,White-Collar,Other,Private,31,40,0
Some-college,Male,Divorced,Blue-Collar,White,Private,30,50,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,47,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,33,45,0
Some-college,Female,Married,White-Collar,White,Private,28,40,0
Some-college,Female,Divorced,Service,White,Government,35,40,0
Bachelors,Female,Widowed,Professional,White,Government,60,60,1
HS-grad,Female,Divorced,Blue-Collar,White,Private,41,50,0
Bachelors,Male,Single,White-Collar,Other,Government,28,40,0
Bachelors,Male,Married,White-Collar,White,Private,42,50,1
School,Female,Single,White-Collar,Other,Government,34,25,0
HS-grad,Female,Single,White-Collar,White,Private,28,38,0
Bachelors,Female,Widowed,White-Collar,White,Government,52,55,0
School,Male,Single,Blue-Collar,White,Private,27,45,0
School,Male,Single,Service,White,Private,57,40,0
Some-college,Male,Married,White-Collar,White,Private,37,37,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,44,60,0
HS-grad,Female,Single,White-Collar,White,Private,25,40,0
Some-college,Female,Married,Sales,White,Private,30,40,0
Assoc,Male,Divorced,Blue-Collar,White,Private,40,50,1
Some-college,Male,Married,Professional,White,Private,29,45,0
Prof-school,Female,Divorced,Professional,White,Government,57,50,1
HS-grad,Male,Married,Blue-Collar,White,Private,48,70,1
School,Female,Single,White-Collar,White,Private,35,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,26,40,0
Masters,Male,Divorced,Professional,White,Government,48,40,1
HS-grad,Female,Widowed,Other/Unknown,White,Other/Unknown,78,20,0
HS-grad,Male,Married,Blue-Collar,White,Private,43,45,0
Bachelors,Male,Single,White-Collar,White,Private,26,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,21,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,30,40,1
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,27,50,0
Some-college,Male,Single,Other/Unknown,White,Other/Unknown,20,56,0
Some-college,Female,Single,Sales,White,Private,19,20,0
HS-grad,Male,Married,White-Collar,White,Private,54,45,0
Bachelors,Male,Married,Service,White,Government,52,40,1
HS-grad,Male,Single,White-Collar,White,Private,23,25,0
School,Male,Single,Blue-Collar,White,Private,26,48,0
HS-grad,Female,Separated,White-Collar,White,Private,42,40,0
HS-grad,Male,Single,Blue-Collar,Other,Private,46,40,0
Assoc,Male,Married,Service,White,Government,52,40,1
Some-college,Female,Divorced,Service,White,Private,42,32,0
Masters,Male,Single,Sales,White,Private,25,55,0
Some-college,Female,Married,Other/Unknown,White,Other/Unknown,33,40,1
Some-college,Male,Married,Service,White,Government,50,48,0
Some-college,Female,Single,Blue-Collar,White,Private,25,50,0
HS-grad,Male,Married,Blue-Collar,White,Private,42,40,0
Bachelors,Male,Married,Professional,White,Private,36,50,1
Prof-school,Male,Single,White-Collar,White,Private,38,40,1
HS-grad,Male,Separated,Blue-Collar,White,Private,53,30,0
HS-grad,Male,Single,Service,White,Government,30,40,0
Bachelors,Male,Single,Professional,White,Government,30,40,1
HS-grad,Male,Married,Sales,White,Private,25,26,1
Some-college,Male,Married,White-Collar,White,Private,67,40,0
Bachelors,Male,Married,Professional,White,Self-Employed,47,30,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,46,40,0
Bachelors,Female,Single,Professional,White,Government,27,40,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,56,90,0
Bachelors,Male,Single,Sales,White,Private,43,50,1
HS-grad,Female,Married,Service,Other,Private,49,8,0
HS-grad,Male,Married,Blue-Collar,White,Private,53,40,1
Some-college,Male,Single,Blue-Collar,White,Private,29,40,0
Assoc,Female,Single,White-Collar,White,Private,40,40,0
Bachelors,Male,Widowed,Sales,Other,Private,41,50,0
Some-college,Female,Married,White-Collar,White,Self-Employed,30,55,1
HS-grad,Male,Married,Blue-Collar,White,Private,40,40,0
Bachelors,Male,Single,Professional,White,Government,28,16,0
Assoc,Female,Single,Professional,White,Private,26,40,0
Assoc,Female,Divorced,Sales,White,Private,50,40,0
Bachelors,Male,Single,Professional,White,Private,52,38,0
Bachelors,Male,Married,Professional,White,Private,63,45,1
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,27,70,0
School,Male,Single,Blue-Collar,White,Private,58,40,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,57,60,1
Bachelors,Female,Single,Professional,White,Private,25,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,36,52,0
HS-grad,Male,Divorced,Professional,White,Self-Employed,59,20,0
Assoc,Male,Married,Blue-Collar,Other,Private,28,40,0
HS-grad,Female,Divorced,Blue-Collar,White,Private,36,40,0
Prof-school,Male,Married,Professional,White,Self-Employed,59,55,1
Some-college,Male,Married,Service,White,Private,25,40,0
Some-college,Female,Single,White-Collar,Other,Private,34,35,0
HS-grad,Female,Widowed,White-Collar,White,Government,64,38,0
Some-college,Female,Single,Sales,White,Private,21,60,0
School,Male,Married,Blue-Collar,White,Private,36,35,0
Some-college,Female,Single,White-Collar,White,Private,34,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,58,25,0
HS-grad,Male,Single,Service,White,Private,19,20,0
School,Male,Married,Blue-Collar,White,Private,49,40,0
School,Female,Married,Professional,White,Private,44,36,1
Bachelors,Female,Single,White-Collar,White,Private,36,32,0
School,Male,Divorced,Sales,White,Government,42,50,1
Some-college,Male,Married,Sales,White,Private,45,40,1
School,Male,Married,Service,Other,Private,35,60,0
Bachelors,Male,Married,Other/Unknown,White,Other/Unknown,48,80,1
School,Male,Single,Blue-Collar,White,Private,28,77,0
School,Female,Single,Service,Other,Private,25,32,0
HS-grad,Female,Widowed,Other/Unknown,White,Other/Unknown,36,4,0
Assoc,Male,Married,Service,White,Private,35,40,0
Some-college,Female,Divorced,Sales,White,Private,38,38,0
Some-college,Male,Single,Blue-Collar,Other,Private,23,30,0
HS-grad,Female,Single,Sales,White,Private,20,35,0
HS-grad,Male,Single,White-Collar,White,Government,21,36,0
Some-college,Female,Divorced,Other/Unknown,White,Other/Unknown,44,10,0
School,Male,Married,Blue-Collar,White,Private,61,40,1
Some-college,Female,Single,Sales,White,Private,24,15,0
Bachelors,Male,Single,White-Collar,White,Private,26,35,0
HS-grad,Male,Separated,Blue-Collar,White,Private,28,55,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,50,32,0
Assoc,Male,Married,Sales,White,Private,41,40,1
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,30,85,0
HS-grad,Male,Married,Blue-Collar,White,Private,23,50,0
School,Male,Divorced,Blue-Collar,White,Self-Employed,49,70,0
Masters,Female,Single,Blue-Collar,White,Private,27,40,0
Some-college,Female,Married,Service,Other,Private,43,40,0
Masters,Female,Widowed,White-Collar,White,Self-Employed,48,40,1
HS-grad,Female,Divorced,Professional,White,Government,68,40,0
Bachelors,Male,Married,Sales,White,Private,49,45,1
Bachelors,Male,Married,Professional,White,Private,35,16,1
HS-grad,Male,Married,Blue-Collar,White,Private,58,52,0
Some-college,Male,Married,Professional,White,Self-Employed,40,60,0
Assoc,Female,Married,White-Collar,White,Private,26,40,0
Bachelors,Female,Divorced,Professional,White,Government,41,35,0
Some-college,Male,Married,Blue-Collar,White,Private,41,42,1
HS-grad,Male,Married,Blue-Collar,White,Private,44,45,0
School,Male,Married,Service,White,Private,32,40,0
Bachelors,Male,Single,White-Collar,White,Private,25,40,0
School,Female,Single,Other/Unknown,White,Other/Unknown,17,30,0
Bachelors,Male,Married,Other/Unknown,White,Other/Unknown,55,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,26,48,0
Some-college,Male,Single,White-Collar,White,Self-Employed,21,40,0
Some-college,Female,Single,Service,White,Private,21,37,0
School,Male,Married,Other/Unknown,Other,Other/Unknown,68,40,0
Some-college,Female,Widowed,Blue-Collar,White,Private,51,36,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,38,40,0
HS-grad,Male,Married,Blue-Collar,Other,Private,32,40,0
School,Male,Married,Blue-Collar,White,Private,33,45,0
Some-college,Female,Single,Sales,White,Private,24,40,0
HS-grad,Male,Married,Professional,White,Private,51,40,0
Masters,Female,Single,White-Collar,White,Private,33,40,0
Bachelors,Male,Married,White-Collar,White,Private,35,60,0
Some-college,Male,Single,Other/Unknown,Other,Other/Unknown,20,72,0
HS-grad,Female,Single,Sales,White,Private,24,55,0
HS-grad,Female,Single,White-Collar,White,Private,23,16,0
School,Male,Single,Blue-Collar,White,Private,20,40,0
Some-college,Female,Single,White-Collar,White,Private,55,36,0
HS-grad,Female,Separated,Service,Other,Private,31,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,22,35,0
Some-college,Female,Divorced,Professional,White,Private,45,20,0
Bachelors,Male,Single,Service,White,Private,25,60,1
Bachelors,Male,Married,Professional,White,Private,38,40,0
Some-college,Female,Married,Service,White,Private,32,36,0
Bachelors,Male,Married,White-Collar,White,Private,36,40,1
Some-college,Male,Married,Blue-Collar,White,Private,41,40,0
Some-college,Male,Married,White-Collar,White,Government,47,40,0
School,Female,Single,Service,White,Private,18,20,0
Bachelors,Male,Single,White-Collar,White,Private,24,45,0
Masters,Male,Single,White-Collar,Other,Private,39,52,1
HS-grad,Male,Single,Other/Unknown,White,Other/Unknown,19,40,0
HS-grad,Female,Single,White-Collar,White,Private,19,20,0
HS-grad,Male,Married,Sales,Other,Self-Employed,29,40,0
Bachelors,Male,Single,White-Collar,White,Government,33,38,0
Bachelors,Female,Divorced,Sales,White,Private,51,60,0
HS-grad,Male,Single,Blue-Collar,White,Self-Employed,34,45,1
Bachelors,Female,Single,Professional,White,Government,58,37,0
Prof-school,Male,Married,Professional,White,Self-Employed,57,40,0
Bachelors,Female,Single,White-Collar,White,Private,24,40,0
Assoc,Male,Married,Professional,White,Private,57,40,0
HS-grad,Male,Married,Blue-Collar,White,Government,24,49,1
HS-grad,Male,Married,Blue-Collar,White,Private,54,40,0
Bachelors,Male,Married,White-Collar,White,Private,62,40,1
Assoc,Male,Married,Sales,White,Private,49,60,1
Some-college,Male,Married,Blue-Collar,White,Self-Employed,53,30,0
Some-college,Male,Married,Sales,White,Private,81,15,0
HS-grad,Male,Separated,White-Collar,White,Self-Employed,34,50,0
HS-grad,Male,Divorced,White-Collar,White,Self-Employed,58,70,0
Prof-school,Male,Married,White-Collar,White,Private,44,55,1
HS-grad,Female,Single,Sales,Other,Private,27,32,0
Masters,Male,Divorced,Blue-Collar,White,Self-Employed,41,40,0
HS-grad,Male,Divorced,Other/Unknown,White,Other/Unknown,52,45,1
HS-grad,Male,Separated,Blue-Collar,White,Self-Employed,35,70,0
Prof-school,Male,Married,Professional,White,Private,35,45,1
Bachelors,Female,Single,Professional,White,Private,58,60,0
HS-grad,Female,Single,Blue-Collar,White,Private,28,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,29,40,0
Bachelors,Male,Single,Blue-Collar,White,Private,33,30,0
School,Female,Divorced,Service,White,Self-Employed,28,30,0
HS-grad,Male,Single,Blue-Collar,White,Private,26,48,0
HS-grad,Female,Separated,Service,Other,Private,29,30,0
School,Female,Married,Service,White,Private,45,25,0
Some-college,Male,Married,Blue-Collar,White,Self-Employed,70,70,0
School,Male,Single,Blue-Collar,Other,Private,24,66,0
HS-grad,Male,Married,White-Collar,White,Private,33,60,0
HS-grad,Female,Widowed,Other/Unknown,White,Other/Unknown,83,20,0
HS-grad,Female,Married,White-Collar,White,Private,35,40,1
Assoc,Female,Married,Blue-Collar,White,Private,23,30,0
Bachelors,Male,Single,Professional,White,Government,34,50,0
HS-grad,Male,Single,Service,Other,Private,23,30,0
HS-grad,Male,Married,Service,White,Government,34,40,0
Assoc,Male,Divorced,Blue-Collar,White,Private,34,40,0
HS-grad,Male,Married,Service,White,Private,37,40,1
Some-college,Male,Single,White-Collar,White,Private,19,40,0
Some-college,Male,Married,Sales,White,Self-Employed,38,50,1
HS-grad,Male,Divorced,Blue-Collar,Other,Private,40,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,20,47,0
Some-college,Male,Married,Blue-Collar,White,Government,34,40,0
Some-college,Female,Divorced,White-Collar,Other,Government,38,45,0
Bachelors,Male,Married,Sales,White,Self-Employed,30,50,1
School,Male,Married,Blue-Collar,White,Private,60,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,34,30,0
Some-college,Male,Single,Blue-Collar,White,Private,35,40,0
HS-grad,Female,Separated,Service,White,Private,24,55,0
HS-grad,Male,Married,Service,White,Private,74,30,0
HS-grad,Male,Married,Professional,Other,Private,45,8,0
HS-grad,Female,Single,White-Collar,White,Private,22,40,0
HS-grad,Male,Single,Other/Unknown,White,Other/Unknown,19,30,0
HS-grad,Male,Married,Service,White,Private,38,40,0
Assoc,Male,Married,White-Collar,White,Private,36,44,1
HS-grad,Male,Divorced,Blue-Collar,White,Private,29,56,0
Some-college,Female,Single,White-Collar,White,Government,21,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,26,40,1
School,Male,Married,Blue-Collar,White,Private,43,40,0
Bachelors,Female,Divorced,Professional,White,Private,38,50,1
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,79,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,39,40,0
Some-college,Male,Married,Blue-Collar,White,Government,43,40,1
HS-grad,Female,Single,Sales,White,Private,21,35,0
HS-grad,Male,Married,Service,White,Private,39,40,1
Some-college,Female,Single,White-Collar,White,Private,29,40,0
Bachelors,Male,Separated,Professional,White,Private,36,40,0
Bachelors,Male,Married,Service,White,Private,38,70,0
HS-grad,Female,Divorced,White-Collar,Other,Government,58,40,0
Assoc,Male,Married,Blue-Collar,White,Private,44,60,1
HS-grad,Male,Single,Blue-Collar,White,Private,21,40,0
Assoc,Male,Divorced,White-Collar,White,Private,58,40,0
Assoc,Male,Married,White-Collar,White,Private,29,40,0
HS-grad,Male,Married,White-Collar,White,Private,46,45,1
Some-college,Male,Married,Blue-Collar,White,Self-Employed,56,50,1
Some-college,Female,Divorced,White-Collar,White,Private,35,40,1
Some-college,Female,Divorced,White-Collar,White,Private,41,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,34,45,0
HS-grad,Male,Married,Blue-Collar,White,Private,32,50,0
Bachelors,Male,Single,Sales,Other,Private,34,45,0
HS-grad,Female,Divorced,White-Collar,White,Private,47,40,0
Assoc,Male,Single,Service,White,Government,27,56,0
Masters,Male,Divorced,White-Collar,White,Self-Employed,50,80,1
HS-grad,Male,Single,Sales,White,Self-Employed,51,40,0
HS-grad,Male,Married,White-Collar,Other,Government,30,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,23,40,0
HS-grad,Female,Divorced,Blue-Collar,White,Private,39,40,0
School,Male,Single,Blue-Collar,White,Private,17,30,0
